cycle,px_hex,py_hex,v_hex,theta_hex,delta_hex,a_hex,z_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex
20,0000313C8982,0000096F6429,000015A770A8,000000260BB8,000001D0F7C9,00000071B4A4,000009EE6654,000000E3A6F3,000000EDB3AB,00009A3AEB3D,000001A214FD,000000FB35DB,0000650E8349,000000E7AFF6
21,000030B5BAB3,00000A50E24B,0000185948FB,FFFFFFEA9F07,0000020234F9,000000B51D73,00000A6D7541,000000E8DC52,000000EC79CE,00009FB5B0D7,00000226B32E,000000FACEA5,00006A09F542,000000E7AFF5
22,000030BFFDC4,00000B1BBD07,000019F36044,0000004B1A77,000002183A00,000000DDBBD4,00000A763868,000000EA8493,000000EEB46B,0000A4B3E84B,000001E73998,000000FA8128,00006F024EF1,000000E7AFF6
23,00003076EB74,00000B99612C,00001B099E4C,0000002A5AA2,00000229A33C,000000FC50F8,00000ADABADA,000000F2B344,000000EC3A79,0000A9B6F7ED,0000027FCCD4,000000F9EE64,000073F86343,000000E7AFF5
24,0000307B395C,00000C7B790B,00001B9C881E,00000049940F,0000023BF6DF,0000010BE145,000009D4E357,000000F5A249,000000F1BF74,0000AD86A814,000002B054BB,000000FA7E7B,000078E769B0,000000E7AFF6
25,000030C759AF,00000CAA97A9,00001A22A47C,FFFFFFC3ED03,00000228DD70,000000DB7E8C,000009DA65DB,000000F10C36,000000F1A535,0000B0663388,000003AD5E16,000000FB1702,00007DCFA32D,000000E7AFF5
26,000030E861B5,00000C1699CA,00001865C45C,FFFFFFA3289D,00000227FE27,0000009EC711,000009E52797,000000E95A77,000000FB3BE9,0000B97B1EAE,000000EFF223,000000FA522F,000082D02F41,000000E7AFF6
27,000030E88B02,00000D50FD76,00001A5AF174,000000339515,000002550E4C,000000E56138,000009D55FDD,000000EAC8F6,000000F98A6F,0000BE97FA41,00000103B08A,000000F8C8AC,000087BD473A,000000E7AFF5
28,00003060FC35,00000D90B4B5,0000185DDF62,000000042212,000002840907,000000A163F2,00000A3D82B5,000000EA0206,000000F7C3E8,0000C04FFC89,000001BB9292,000000F73EEC,00008C97ABC4,000000E7AFF6
29,0000306194D6,00000DE41FFC,000017D9E720,FFFFFFD8AA6B,00000288F76F,0000008E4682,00000A65C0C8,000000EBD5BD,000000F4F554,0000BF1DE66A,000001E55C49,000000F7ECC6,0000915EC1F3,000000E7AFF5
30,0000303D0225,00000ED9A596,00001ACECBE4,0000005EB770,000002A0C070,000001037F81,00000A21249E,000000E6E3D5,000000F6C839,0000BC9265AE,000001788ECE,000000F92626,00009618CFFD,000000E7AFF6
31,00002FDB0BE3,00000F1B5157,00001A8D2710,0000003B7246,000002B7E350,000000FDAADD,000009B5CDB8,000000EAF63C,000000F4DCBE,0000BD79FE0A,000002051CC3,000000F92834,00009AE1AA75,000000E7AFF5
32,00002FBFFDA5,00000FA7DDE3,00001B75B24D,00000050307C,000002B64677,0000012222F5,000009E1B27E,000000F1879E,000000F3743D,0000BE859045,0000022502F9,000000F9B742,00009FA3244C,000000E7AFF6
33,00002F7A5AE5,00000F906020,00001AE1298F,FFFFFFF4E546,000002CAE3ED,0000010D571F,000009DE956D,000000F5E2F3,000000F14C62,0000BFCAFB1E,000002498615,000000FA7583,0000A45DD5F5,000000E7AFF5
34,00002F2F72C3,00000FF47455,00001BCB90F8,FFFFFFE74DA4,000002D78539,000001390B97,000009F1C309,000000FC6683,000000EF47BA,0000C11D28A9,000002924F79,000000FC12D6,0000A912179C,000000E7AFF6
35,00002F270190,000011550714,00001D06DD26,000000D469C2,000002DBD4C7,00000170E054,00000A1A6337,000000FC36BD,000000F7DC39,0000C3095191,00000230D0DC,000000FD175B,0000ADC2B2DE,000000E7AFF5
36,00002F000A3A,0000119547F0,00001CD8EF7A,000000555917,000002DAE279,000001667D1B,0000098FFFD0,000000FFE524,000000E8676E,0000C5A35831,000003CC5F1D,000000FAA9A2,0000B277E573,000000E7AFF6
37,00002ED5F2A0,00001207F040,00001D2BF49D,000000E17B46,000002E433B2,00000176ACDD,00000A8EEB44,0000010A8985,000000E7D087,0000CCE08721,000000E14CC4,000000F6D9DE,0000B75B9738,000000E7AFF5
38,00002E794F17,000012937A55,00001E2B0048,00000105DC37,000002E585FC,000001A97902,00000A77C605,00000107045E,000000E410E8,0000CEC532FF,0000017D41E4,000000F512D3,0000BC067AB0,000000E7AFF6
39,00002DAF1F4B,0000135A9861,000021BE06C6,000001A2AE02,000002DE1C2D,000002669DFD,00000AA738BA,00000108609C,000000E6EFB7,0000CDA98182,0000019CDCC5,000000F60D4B,0000C0883C53,000000E7AFF5
40,00002E0F379C,0000133E6706,00001E05036A,FFFFFFF0CFFF,000002E411F2,000001970735,00000AFC6F43,0000010E19E8,000000E57D4E,0000CCB79819,00000552A441,000000FC4C98,0000C4FF3F1E,000000E7AFF6
41,00002D6F2E71,000014052403,000020000495,0000010FEA68,000003019A64,0000020CF905,00000B768E89,0000010422D5,000000F0F6B1,0000CE3DB0DF,000000BFE9D8,000000FA40E1,0000C98E3BA4,000000E7AFF5
42,00002CEFB376,0000143CF4C0,00001FAAD804,000000C7605C,000003124880,000001FDDE7F,00000B24787E,0000010B1B96,000000E51DEC,0000D0A0CD75,000003249A79,000000FA7862,0000CE1A0796,000000E7AFF6
43,00002CDB75EA,000014300166,00001D6D372E,0000009C44D7,00000326DE5F,0000017D4C4B,00000AEA1CA7,0000010EE693,000000E33243,0000CFD5B943,0000018EC080,000000F97335,0000D26D05D0,000000E7AFF5
44,00002C61DE99,000014F476EC,00001FE9F436,0000012473C6,00000314C7AE,0000020D9ED2,00000A73C10A,0000010DE1E9,000000F17FF4,0000CE0EA3E6,000001EE0753,000000F8463E,0000D6A563E7,000000E7AFF6
45,00002D3FBEB4,000014F7CF14,00001B1C7E1E,FFFFFFABE862,000002F84307,000000CCF645,00000A528E97,000001108A85,000000E294E1,0000CCD9E4FE,0000031EAE34,000000FBB1CD,0000DAD77DD0,000000E7AFF5
46,00002D74665C,000015182C8D,00001A8B4ACB,FFFFFFF50BAB,000002F51577,000000A5FEE5,00000A682ACE,0000010E4CD5,000000FCE6A5,0000D0A174F1,0000016675B0,000000FC15BD,0000DF59ECF8,000000E7AFF6
47,00002DA5161E,0000153AD389,000019960BA6,0000003161E5,000002EE7AAB,00000062D479,00000A74412B,0000010DEFA6,000000FBA27D,0000D239045B,00000171CBDF,000000FBB133,0000E3AA84AC,000000E7AFF5
48,00002D09889A,00001674B55E,00001E0F4E8C,00000140141D,000002F41363,000001923290,00000A0BCD38,0000010BFD57,000000F4CF15,0000D40B61C2,000001963342,000000FBB432,0000E7F2B8D5,000000E7AFF6
49,00002BD5726E,000017401E2F,000022CE76E5,000001E5FF37,000002FD40B9,000002DFB9A3,00000A3EE2A3,00000108FC7B,000000E3DA3E,0000D3B20241,00000385A9FA,000000FBDA67,0000EC0EF124,000000E7AFF5
50,00002BD950C6,000017DEA8FB,000023BD13D4,0000006990C7,000002F078FA,00000319A50C,00000A14BDA1,000001026C12,000000FA8783,0000D2CACD93,000009A7E63F,000000FDCA91,0000F0241C0A,000000E7AFF6
51,00002BDD2C88,0000186D1615,0000242D2090,000000FDC6AD,000002EC2677,00000331F324,000009F59D86,000001193150,00000103DABC,0000DD2D5EF8,000000DAC089,000000F94129,0000F515AB2D,000000E7AFF5
52,00002C75C5A2,00001912A9A3,000025A14D9C,000000A3D228,000002BE17A6,000003824101,000009BAC455,0000011CA286,000000EFFC48,0000E12BE5C4,0000013EF242,000000F490EC,0000F98A8C43,000000E7AFF6
53,00002C1FB54F,000019105D75,000022A1224B,000000BF57C4,000002E54C0F,000002AC1C1D,00000A30B256,0000011AF140,000000FE3C58,0000DF82C9D0,000001C6CA1E,000000F13B67,0000FD78DB3D,000000E7AFF5
54,00002C056D74,000019304499,0000217F31BA,000000AF8B14,000002EE0B07,000002549632,00000A9090C4,00000115244F,000001006775,0000DD50A14C,00000199BE03,000000F15CB7,00010145C9CF,000000E7AFF6
55,00002B67DCBA,00001A1E971B,000025345612,0000017447B2,000002E40317,00000370F93B,00000B1DA49F,000001127FB6,000000FAC39D,0000DABFEA23,000001A082D6,000000F1F6D7,000104F5451E,000000E7AFF5
56,00002AA72939,00001A46DFD2,0000254D4F33,00000118C8E5,00000302AE63,00000385DE26,00000AA11E5D,00000119938E,000000EDE8D7,0000D9B59262,0000053E05AA,000000F8C89E,000108AB0109,000000E7AFF6
57,000029D96BC5,00001ABF70A7,00002753A4E8,000001B1EFFB,000003100099,0000042C9594,00000AAE3057,00000109B98E,000000E30BE1,0000D7E48E22,0000015599A8,000000F82275,00010C406EA6,000000E7AFF5
58,000029D17350,00001B5401B5,0000279B1F30,000000F10A03,000002F51E83,0000042CFD50,00000A9DA197,00000115934F,000000E34D37,0000D88671AE,000005C523DA,000000FCDE71,000110055BAB,000000E7AFF6
59,00002A318438,00001BBD9110,00002507A6B4,000000A22FD1,000002E2A7CB,000003453EC3,00000B6ACE2C,00000111E4F9,000000EA1E6A,0000D7266C4F,0000010511CB,000000F93B3C,0001138ED4F8,000000E7AFF5
60,000029FF6383,00001BE9AD69,000023868C2C,000000AAE698,000002F6C061,000002C81F10,00000ACA40B8,00000116E1FB,000000F407BE,0000D3ED4B3D,000001981057,000000F488E2,000116D18403,000000E7AFF6
61,000029A2FEE3,00001C55403D,000024530649,000000EF5571,000002FC22AC,0000030B2247,00000AEABACC,00000115C861,000000FD416D,0000D0F3F702,000001A57A7E,000000F3A940,00011A095253,000000E7AFF5
62,00002941F858,00001CC968A9,000025329CED,0000013FE388,000002F9EE7C,00000351BA4F,00000A853359,000001177458,000000EB4BB7,0000CF0393F1,000001A41531,000000F47355,00011D4B91EA,000000E7AFF6
63,000027F98D24,00001D4450BA,000028644CAB,000001949983,000003250AA8,0000047F3A86,00000AC7CA65,0000011A8FDE,000000E0B056,0000CDFE7705,0000053722BC,000000F7DE41,0001209A5C60,000000E7AFF5
64,000027DDD36F,00001D444610,000025F4619C,00000111D8C7,0000032F37FD,0000039DD095,00000ABFBF96,0000010B78E4,000000E6F4CE,0000CE0179A0,0000033A4604,000000FC8701,00012404D6A5,000000E7AFF6
65,000027CF0E2E,00001DA821FA,0000242D3564,00000111BD2D,0000032E01A9,000002F26327,00000AB946F3,0000010FB98D,000000E8BE2F,0000CC03EAAA,00000136F657,000000FB1C7D,000127226BB6,000000E7AFF5
66,0000278A017E,00001DD24D6E,000023692516,000001259D97,000003362E42,000002A8BCCC,00000AC5B787,000001151F31,000000EB4852,0000C997C765,000001A3659F,000000F9E3F7,00012A1C57CA,000000E7AFF6
67,00002759273C,00001EB2A6FD,00002548382F,0000010E0515,000003092B7F,000003406DFE,00000B066AD4,00000115FA35,000000E64424,0000C838A2B4,000002D93CA2,000000FB1724,00012D28105F,000000E7AFF5
68,0000266B5A6B,00001F0CF8AF,000026A416CB,00000158E5F0,00000330A27A,000003CE9144,00000B08982A,0000011287F5,000000E0DF51,0000C76340B3,0000030DB7D7,000000FA00C8,0001303C4233,000000E7AFF6
69,0000268EC7F3,00001FA14876,000026C77018,00000130105D,000003146DC7,000003C86EE7,00000C14F4DE,00000118501B,000000E39CE5,0000C81026C1,000003A8E328,000000FBFCDE,0001337C00DB,000000E7AFF5
70,0000267B0D00,00002092DE85,0000286C946C,000000438941,000002F70F4B,00000458C076,00000BE713DA,000001153E18,000000E3A3E0,0000C6D25018,000005DF192E,000000FAC967,00013671829D,000000E7AFF6
71,0000268D8A5B,000020D7B11F,00002665EC8E,000000D789DA,00000301B7F9,00000388D97C,00000BB88CBA,0000011648F5,000000F5F34D,0000C592880F,000000C54C89,000000F56470,00013958A57B,000000E7AFF5
72,000025948AAE,0000212B02AE,000026B39738,0000015C047A,00000335DEEB,000003BA7067,00000B35DF16,0000011AA715,000000ED51EE,0000C5FE4141,00000167D0F4,000000F2F149,00013C628B3B,000000E7AFF6
73,00002531095C,0000222229D5,000028EFCE79,000000DC5CA2,00000311D350,00000481CEEF,00000A6E4A1D,0000011B5BE4,000000E66EE4,0000C8E468E2,00000535D399,000000FAB13B,00013FB3C757,000000E7AFF5
74,000025451F27,00002198C310,000025222872,000000A157A1,00000331ACEF,000002FC56DA,00000A54D0B4,0000010C9B47,000000F22AF6,0000CA630760,000001652321,000000F6D679,000142B7F634,000000E7AFF6
75,0000255747DD,0000220EF266,00002452B9B4,00000027ECBC,0000031FEF57,00000297F0B6,00000A139007,0000011271F1,000000F06688,0000C99CD61E,0000035C16A7,000000F44E63,00014548A4B9,000000E7AFF5
76,0000246A1755,000022DA47C7,0000277F3C56,000001676BEF,00000346F44C,000003F5CCED,00000A02F66D,00000116E73C,000000FAFF0A,0000C8C5AF3A,000000F41944,000000F4690F,000147D1686D,000000E7AFF6
77,0000240D7FBB,00002311B01C,000026ED4A2C,000000AA7F14,0000034A02C0,000003B136EE,000009FE6D4C,0000011200AD,000000E7B3C5,0000C92C60ED,000005BBB48D,000000FB57CB,00014A87DB33,000000E7AFF5
78,0000248FA3C5,00002383CA2B,000023F5862A,0000003086C2,0000031B44F5,0000024F3BD0,0000098E5829,00000105CAC4,000000E6B1BB,0000C775398F,00000171C3E5,000000F7DD3A,00014CC8216A,000000E7AFF6
79,0000240783F4,0000239442B8,000023E34F08,000000610D99,000003479BE5,00000257AEE2,00000A2756E7,00000111C94C,000000FA6ED3,0000C5760A3D,00000207B1B5,000000F61550,00014EE48D93,000000E7AFF5
80,000022FFED05,000023FEE6FB,00002694EAA1,000000FCE21A,00000377E2A2,0000039524AB,00000A758D0D,000001183A73,000000F2BF85,0000C3BBDE9D,0000020BC4E3,000000F534B2,000150FF1009,000000E7AFF6
81,000023159076,000023D98B6B,000024AAA3DC,FFFFFF9FB0BE,00000385B63D,000002BEC324,00000A6907E2,0000011C3D59,000000E24BEA,0000C40F4DF9,00000566EED9,000000FA64B7,0001536CBEE4,000000E7AFF5
82,0000227EEA13,000024416577,000025771B9C,000000BD90F4,000003AC40C2,000003232F78,00000B0887D3,00000112E914,000000FC498D,0000C7FC1A1B,000000E78FF6,000000F97A0E,0001569497FE,000000E7AFF6
83,00002232F8B0,0000245FAEED,000024CEA7F8,0000015D8A9E,000003BB9C2E,000002DA405A,00000B33521C,00000116129C,000000EA1D4E,0000CC1CDCF9,00000107A8D7,000000FA6C0C,000159A6B8EB,000000E7AFF5
84,0000228E1275,00002546BFEA,000024A13D1E,FFFFFFB2BF68,000003911B82,000002B00A28,00000A8EF62F,0000010A3504,000000F09DD8,0000CE725EFF,0000060A0051,000000FBD5A9,00015C73CD85,000000E7AFF6
85,000021B33243,00002624A4B8,00002472AC70,0000013268CA,000003CA9489,000002AA90DA,00000A5F2B2A,000001116FA6,000000FB9A95,0000DBF251D6,000000B34BB6,000000F77021,0001617E57B0,000000E7AFF5
86,00002136A133,0000269DDF73,000024C188C0,00000122354D,000003CDF25A,000002CA247E,00000A2D60F9,0000010A4DCB,000000F50752,0000E4969132,000002DC7C4D,000000FCE10D,0001656BD4B6,000000E7AFF6
87,00002080ECF8,0000255F10FA,00002031B91C,000001DC86A0,000003EE7F21,000000BD94C0,00000A03EE08,0000010F0245,000000F9DA16,0000E75B45FB,0000032E60D8,000000FF23F8,0001680BA330,000000E7AFF5
88,00001FFFCCA7,000025794231,000021017C1A,00000159E458,000003EEDCFB,0000011C850F,00000ABBEDF1,000000F2F3CB,000000E95447,0000E7749905,00000653E10B,000000F9A2CB,00016A592B85,000000E7AFF6
89,00001EF19DE0,000025FAE0C4,0000251FD9A0,000001FF5944,000003D70352,000002F61589,00000AC3677B,000000EF4307,000000EAAB15,0000E414390E,0000011539A9,000000FD3A3B,00016BC9ED32,000000E7AFF5
90,00001F530954,00002603750F,00002123C7CF,00000054E1ED,0000040747B8,0000013043A0,00000B1B8127,000000EDBDA8,000000F769F0,0000E5438056,000009EDA0EF,000000F47B71,00016E63B0ED,000000E7AFF6
91,00001EF2658A,00002663DEBD,0000214A31D9,000000CB265E,00000405E950,0000013D4320,00000B20D344,0000010BF858,000000F34C5D,0000F232EEB6,000001A6C7E9,000000FC7C34,0001730E2427,000000E7AFF5
92,00001EA59AA4,000026DC8AFF,00002180D120,000001309264,00000400F595,0000015062A7,00000B05CA37,000001201145,000000E914CF,0000FE2FF4DF,000001CA82BA,000000FAB824,000177A76557,000000E7AFF6
93,00001DF7E5F9,00002788E639,000023C4DF8B,00000160018F,000003F88A02,0000025CA8B9,00000B230628,000001108B83,000000EFED20,0001046D2664,000002C40241,000000FDD148,00017ADE7679,000000E7AFF5
94,00001E421BD4,00002789F75E,000020989CBF,00000085306C,000003FD6DE1,000000D5FAAD,00000BAD13D2,0000010DAD26,000000EDD6A3,00010678F3AB,0000030EE421,000000FFB084,00017D0AB420,000000E7AFF6
95,00001CC2AC70,000028484379,000026AEFA14,000000D0AAFB,0000040F76DE,000003C714BB,00000B917BB9,000001086E45,000000ECA6F3,000100790D8E,000003F1975A,000000FD4F8B,00017D61E77C,000000E7AFF5
96,00001C879CD9,000028937AF6,000024778AEC,00000185F9E4,0000040C6233,000002ACAC60,00000B3F8C38,000001064051,000000E6101F,0000F9CA3B34,000000F27121,000000FCF1ED,00017D6E9F46,000000E7AFF6
97,00001BFE02DD,000028D2063A,000024A4257F,00000137B1CE,0000040F7C0D,000002BCDF52,00000B5C1C11,000001035C7D,000000F45438,0000F2C1EE60,000005BD48F6,000000FECF17,00017D9D691A,000000E7AFF5
98,00001BE00052,0000290E301D,0000236E61B0,000001732234,00000411C214,000002233514,00000B7459AA,00000102C59F,00000100D689,0000F0D3EBD7,000001341099,000000FF2E2A,00017EF17E8B,000000E7AFF6
99,00001BB3EDAB,000029CB1CD5,000025450079,0000011A0241,0000040868DB,000002FB24B0,00000B701751,000001054354,000000F71B7A,0000EF7FDA9E,000002EA75DB,000000FF73CA,0001806325C5,000000E7AFF5
100,00001AD24803,000029C1E1EE,0000272E4611,00000159A578,0000040A6AC2,000003E2B760,00000B77221D,0000011087DE,000000FCD360,0000ECA61AC6,000003A06A41,000000FFFEA6,0001815A41BC,000000E7AFF6
101,00001AAFFE8B,00002A493DF8,0000255D8A03,00000100C8DD,0000040C1FD3,000002F78087,00000B4A50E5,000000FDDAE5,000001076F23,0000E6B4E86B,000002EFD13F,00000100223B,000181972E99,000000E7AFF5
102,00001ACBA3EB,00002A5CE0D5,000021FDA8AE,0000008525F8,0000040B378C,000001499E94,00000B4E5546,0000010AAB63,000000FEBD73,0000E065D88C,0000033560AF,000001004015,000181A5EE30,000000E7AFF6
103,00001A11E64A,00002ABF6188,000024112E85,000000C9DEEE,000004176267,000002539A76,00000B7DB0F6,0000010F214C,000000F74B15,0000DA7C2F56,000003712015,000000FE395B,000181AC6B64,000000E7AFF5
104,000019E283A2,00002B6D3972,000023E49628,00000011C500,0000040A99BD,0000022E1FD4,00000BAF5D8C,0000010D78F3,000000E6A2E1,0000D5EE93AC,00000686F665,000000FD9369,000181FB7592,000000E7AFF6
105,0000194B2586,00002BF280D6,000025B77F7E,000001083A1D,00000417F3F3,00000318A988,00000B514176,000001155675,000000EFF651,0000D1818D29,000000DF5926,000000F90E7B,0001822B467E,000000E7AFF5
106,000018D1EC93,00002BFC7B7C,0000248E122F,000000A3D8EF,000004272BF1,000002840F04,00000B318A5A,0000010C9731,000000F74182,0000CE16DFA8,0000060C6978,000000FA9E0B,000182D1EE55,000000E7AFF6
107,00001894028B,00002BE800DC,000021A1A0FA,0000010D98B2,0000043EE032,000001138B1B,00000BBB763F,000001117030,000000FA697F,0000D02C81FF,000001108440,000000F82673,00018503481B,000000E7AFF5
108,0000177EDB69,00002BAEF698,0000214F6C0C,000001BDAA02,00000463F404,000000FE9FED,00000BD0757A,0000010D733A,000000F6EFA9,0000D1F1256D,000003000EB8,000000FC9CCF,000186FB14D3,000000E7AFF6
109,00001778EFA1,00002C457D5A,000021AF3F61,000001230DBC,0000044DE2E5,0000011D7C9E,00000BB53BA2,000000F51771,000000EEAEEE,0000D370B966,000005E0EF35,000000F95CE4,0001890B164E,000000E7AFF5
110,000016DC3805,00002C3C937C,000021646F16,000001863215,00000459F04A,000000FD8155,00000B76FDFE,000000F1A3B2,000000EBBEAC,0000D25FFE89,0000011D3DF5,000000FDDE33,00018A3F9E43,000000E7AFF6
111,00001634A1E8,00002CEBF837,00002503A6EB,000001A1479C,000004461FCF,000002CA11B2,00000B3AF1DE,000000F476C2,000000F03B51,0000D2AEFE5E,0000058ADAD5,000000FEB388,00018BCC07EF,000000E7AFF5
112,0000157D8E01,00002D0ACDBB,0000258D521F,0000017437A3,0000043D0CF5,000003031C70,00000B3EDAC2,000000EF9E30,000000F40CFF,0000D269D7F9,000005BD75AB,000000FE9F29,00018D2133EC,000000E7AFF6
113,000014DD728A,00002CEF1163,0000248BC8DB,000001848054,0000043A30A8,00000273D1CB,00000B349EB9,000000E6A0FC,000000F932E7,0000D136A8A7,0000030B23AC,000000FF1021,00018E221D31,000000E7AFF5
114,000014C73980,00002D1DE287,0000236F365A,000000C9F064,0000043D7A45,000001DCB325,00000AF52268,000000F6F10E,000000FDB523,0000D3868D44,00000632AFAB,000000FEF5D7,00018FF2D601,000000E7AFF6
115,0000148A67D6,00002D1ABAA3,000020DF0D5A,000001168A62,0000043EF072,000000841B57,00000A7F4DED,0000010DFDA3,000000E64973,0000D938BB28,00000117C7E4,0000010013C4,000192A5AF97,000000E7AFF5
116,000013CC9B1C,00002D76D526,0000223876BC,0000016758A0,0000044213AA,00000137FADA,00000AB7D631,000001091780,000000E9A427,0000DB96F9C3,000002F14E49,000000FFFAD5,0001946A6454,000000E7AFF6
117,0000142611AD,00002E1B1637,000021153E8B,00000094C402,00000442DBB1,0000009982FD,00000AB9C3A3,00000102BE93,000000E9E39D,0000DEE5921F,000003604653,000001004BA1,00019661EC3D,000000E7AFF5
118,0000137B6909,00002E106B6F,0000212B7289,000001366472,00000450E6E2,000000AE155A,00000AC6F104,00000109664D,000000EBD77D,0000DD69AD30,0000018F11CB,000000FF7CD1,000196E4E520,000000E7AFF6
119,000012D46487,00002E5BCB44,000023B4A7E6,0000010690C9,000004511C3C,00000201A4C7,00000A901195,000001077DC3,000000EDB240,0000DCD4A157,0000063A23A0,000000FFD9CC,000197B76674,000000E7AFF5
120,00001271BE98,00002F2CDEBF,000025270A5D,000000D5DF7F,00000448B3BB,000002BA1A01,00000AA42C83,000000FAF66D,000000E46EDC,0000D8B7A4BA,00000300244C,000000FFC812,000197845E4F,000000E7AFF6
121,00001213AC8A,00002F8548FF,00002524F635,0000006291C7,000004496B13,000002B2127F,00000A9B3FFA,0000010B0C0D,000000EFE88A,0000D38D86EF,00000682852D,000000FF2EE5,0001970150EE,000000E7AFF5
122,0000119902C4,00002F9AB50E,0000238710D6,00000162371D,0000045AFFD5,000001D8F9ED,00000ABD77D7,000001169E39,000000F3DBDF,0000DA8F928E,000000F36B67,000000FAC4AA,00019A0C301F,000000E7AFF6
123,000010A90B3D,00002FA32B30,0000242B12A2,000002103978,000004650EB4,00000231B624,00000AF58547,00000102F916,000000E3E9AD,0000DF9470ED,0000019DAA94,000000FFB093,00019C6393F5,000000E7AFF5
