cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
24,000030730123,00000BE2F682,00000003DD84,FFFFFFFFFEF1,0000000001FF,FFFFFFFFE594,000009B82EE1,FFFFFFC2A2F2,FFFFFFFFFCF1,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
25,000030BEB446,00000C17B7FB,00000004F968,FFFFFFFFFEEB,0000000001F9,FFFFFFFFE861,000009C82713,FFFFFFC2E381,FFFFFFFFFD86,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
26,0000309FE7EF,00000BA65E4F,0000000484BD,FFFFFFFFFEF3,0000000001E5,FFFFFFFFE738,000009DA6DCE,FFFFFFC32CC4,FFFFFFFFFE3B,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
27,00003098A70A,00000CCAE992,000000046894,FFFFFFFFFEE3,0000000001FA,FFFFFFFFE6D9,000009CB3C48,FFFFFFC2F80D,FFFFFFFFFD98,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
28,0000301BB1A9,00000CFB4C67,0000000291B0,FFFFFFFFFED3,0000000001F4,FFFFFFFFE214,00000A46D141,FFFFFFC4CD5B,000000000239,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
29,00003027FF96,00000D43FAC8,00000002BF21,FFFFFFFFFEC6,0000000001E4,FFFFFFFFE279,00000A7157D9,FFFFFFC571B9,0000000003CE,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
30,0000300CFFEC,00000E2927F3,0000000258BB,FFFFFFFFFEC7,0000000001EA,FFFFFFFFE16E,00000A1CE2CC,FFFFFFC43875,00000000009F,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
31,00002FC69858,00000E69DF63,000000014F27,FFFFFFFFFED5,0000000001F3,FFFFFFFFDECB,000009A13F27,FFFFFFC26BE1,FFFFFFFFFBFF,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
32,00002FC4F594,00000EFB8BDA,000000014828,FFFFFFFFFEC3,0000000001DF,FFFFFFFFDEA3,000009DAC283,FFFFFFC348AA,FFFFFFFFFE22,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
33,00002F841595,00000EE97205,000000005359,FFFFFFFFFEC3,0000000001D8,FFFFFFFFDC2D,000009D8E171,FFFFFFC34617,FFFFFFFFFE16,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
34,00002F416F37,00000F423541,FFFFFFFF57D9,FFFFFFFFFEBA,0000000001CF,FFFFFFFFD99C,000009F0649E,FFFFFFC3A2FD,FFFFFFFFFEF4,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
35,00002F4C41B5,0000109EF184,FFFFFFFF7FA5,FFFFFFFFFEA3,0000000001A0,FFFFFFFFD9D9,00000A1F3445,FFFFFFC45774,0000000000A4,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
36,00002F358ED9,000010F3D7D0,FFFFFFFF2981,FFFFFFFFFEB2,0000000001A6,FFFFFFFFD900,0000097C4D4E,FFFFFFC1F72F,FFFFFFFFFA8C,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
37,00002EFC49C1,00001161B5F9,FFFFFFFE512F,FFFFFFFFFE8E,000000000178,FFFFFFFFD6B3,00000AAA173A,FFFFFFC66ABF,0000000005D4,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
38,00002EB76D6C,000011E938D4,FFFFFFFD4D65,FFFFFFFFFE87,00000000015F,FFFFFFFFD411,00000A84B6EF,FFFFFFC5E28D,00000000046A,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
39,00002E1FCBC9,000012B86813,FFFFFFFB1238,FFFFFFFFFE7B,000000000133,FFFFFFFFCE4F,00000AB64B2B,FFFFFFC6A168,000000000641,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
40,00002E624F31,000012A9B9EC,FFFFFFFC0B97,FFFFFFFFFE6A,000000000128,FFFFFFFFD0BF,00000B12E252,FFFFFFC80206,0000000009B5,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
41,00002DAFD808,000013552546,FFFFFFF96B79,FFFFFFFFFE55,0000000000F9,FFFFFFFFC9EE,00000B979B93,FFFFFFC9F98E,000000000EAD,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
42,00002D5132D5,000013825C94,FFFFFFF806BF,FFFFFFFFFE5D,0000000000EB,FFFFFFFFC65C,00000B2BD67F,FFFFFFC8688A,000000000AA7,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
43,00002D2EB1A2,0000136E5C9C,FFFFFFF78442,FFFFFFFFFE5B,0000000000F6,FFFFFFFFC511,00000AE4D34F,FFFFFFC761CC,000000000803,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
44,00002CD17EF8,00001446A09E,FFFFFFF624FF,FFFFFFFFFE5F,0000000000B2,FFFFFFFFC18B,00000A5CD3E0,FFFFFFC566AA,0000000002EC,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
45,00002D739192,000014865506,FFFFFFF885D9,FFFFFFFFFE4B,000000000084,FFFFFFFFC790,00000A3DE1B1,FFFFFFC4F6A9,0000000001BD,00000121649B,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
46,00002D82B9CB,000014AF2C79,FFFFFFF8BE18,FFFFFFFFFE39,00000000006D,FFFFFFFFC816,00000A5DA465,FFFFFFC5728C,0000000002EB,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
47,00002DA55210,000014CFC3E1,FFFFFFF93F71,FFFFFFFFFE27,00000000005B,FFFFFFFFC951,00000A6EB491,FFFFFFC5B722,00000000038E,000001216498,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
48,00002D457492,000015EA90AB,FFFFFFF7D613,FFFFFFFFFE1D,000000000010,FFFFFFFFC5AE,000009F6E5DF,FFFFFFC3F8E7,FFFFFFFFFF0D,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
49,00002C6087E6,000016B01C86,FFFFFFF47837,FFFFFFFFFE17,FFFFFFFFFFC3,FFFFFFFFBD0A,00000A38E3D5,FFFFFFC4F595,00000000018B,000001216499,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
50,00002C498A4C,00001746C5C4,FFFFFFF420FB,FFFFFFFFFE0A,FFFFFFFFFF75,FFFFFFFFBC23,00000A0973E6,FFFFFFC44791,FFFFFFFFFFC2,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
51,00002C22CC1B,000017CA8BF4,FFFFFFF38E8A,FFFFFFFFFDF9,FFFFFFFFFF38,FFFFFFFFBAA4,000009E8B0BC,FFFFFFC3D0C9,FFFFFFFFFE89,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
52,00002C8A4E0F,00001857AC21,FFFFFFF51319,FFFFFFFFFDE2,FFFFFFFFFEE4,FFFFFFFFBE7D,000009A86160,FFFFFFC2E34F,FFFFFFFFFC1B,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
53,00002C45787F,00001853EDEF,FFFFFFF40F70,FFFFFFFFFDC7,FFFFFFFFFED5,FFFFFFFFBBD8,00000A36ED7C,FFFFFFC4FFF0,000000000174,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
54,00002C3055E6,00001887894F,FFFFFFF3BF2D,FFFFFFFFFDB4,FFFFFFFFFEAB,FFFFFFFFBAF9,00000AA30A88,FFFFFFC69AF8,00000000057F,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
55,00002BC5E84A,00001967E44F,FFFFFFF22E0B,FFFFFFFFFD8E,FFFFFFFFFE31,FFFFFFFFB6E3,00000B3F2717,FFFFFFC8EA7E,000000000B5A,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
56,00002B2CB04B,0000198CD839,FFFFFFEFED16,FFFFFFFFFD8E,FFFFFFFFFE2E,FFFFFFFFB130,00000AA203E1,FFFFFFC69FD4,000000000581,00000121649A,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
57,00002A7D4AE4,00001A0A0A61,FFFFFFED58AA,FFFFFFFFFD7D,FFFFFFFFFDE1,FFFFFFFFAA98,00000AB01B8B,FFFFFFC6D93C,00000000060F,00000121649C,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
58,00002A591686,00001AD468EF,FFFFFFECCFC1,FFFFFFFFFD63,FFFFFFFFFD3F,FFFFFFFFA933,00000A9B7E32,FFFFFFC6900B,00000000054A,00000121649B,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
59,00002A953C53,00001B174E35,FFFFFFEDB139,FFFFFFFFFD28,FFFFFFFFFCE5,FFFFFFFFAB55,00000B895725,FFFFFFCA12FC,000000000E2F,00000121649C,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
60,00002A5536B6,00001B318D13,FFFFFFECBFCD,FFFFFFFFFD21,FFFFFFFFFCDA,FFFFFFFFA8F5,00000AC38872,FFFFFFC72F4A,0000000006CA,00000121649C,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
61,00002A04C58F,00001BA2EA8B,FFFFFFEB9089,FFFFFFFFFD08,FFFFFFFFFC7F,FFFFFFFFA5EA,00000AEAE072,FFFFFFC7C79E,000000000845,00000121649C,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
62,000029B5D847,00001C1F0591,FFFFFFEA6706,FFFFFFFFFCF4,FFFFFFFFFC27,FFFFFFFFA2F2,00000A746D52,FFFFFFC60E73,0000000003D8,00000121649D,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
63,000028B08C41,00001C71404F,FFFFFFE68F8C,FFFFFFFFFCD9,FFFFFFFFFBDF,FFFFFFFF991B,00000AC6ED47,FFFFFFC7492A,0000000006F9,00000121649E,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
64,0000288E0493,00001C811D9A,FFFFFFE60D10,FFFFFFFFFCB5,FFFFFFFFFBCB,FFFFFFFF97CA,00000ABD315A,FFFFFFC728E7,0000000006A1,00000121649F,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
65,0000286BFDF7,00001CD1A3BD,FFFFFFE58C6B,FFFFFFFFFC8F,FFFFFFFFFB77,FFFFFFFF9678,00000AB5E396,FFFFFFC711C6,00000000065E,00000121649F,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
66,0000281BD861,00001D11C9DB,FFFFFFE45E4E,FFFFFFFFFC6B,FFFFFFFFFB2E,FFFFFFFF9374,00000AC4CDC0,FFFFFFC74E39,0000000006F0,00000121649F,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
67,000027FA92F9,00001E2CEC76,FFFFFFE3E071,FFFFFFFFFC37,FFFFFFFFF9F2,FFFFFFFF9224,00000B0F669A,FFFFFFC86B1C,0000000009B6,0000012164A0,00000121619B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
68,00002714411F,00001E46B74A,FFFFFFE0830F,FFFFFFFFFC11,FFFFFFFFF9C3,FFFFFFFF8985,00000B0DF83E,FFFFFFC86A15,0000000009B0,000001216FFC,00000125F506,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
69,00002719300C,00001F11CBB5,FFFFFFE076E7,FFFFFFFFFBC9,FFFFFFFFF8BC,FFFFFFFF893F,00000C425DA9,FFFFFFCCF64F,000000001534,00000121D00C,00000126EBEE,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
70,000026D931CB,00002157CB8D,FFFFFFE075B3,FFFFFFFFB604,FFFFFFFFF8B7,000000034E75,00000BFC2309,FFFFFFCBF25E,000000001294,000001247229,0000020AD859,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
71,000026ABDE18,0000204735E8,FFFFFFE03F43,0000000093F3,FFFFFFFFF8B8,FFFFFFFFC62E,00000BBDEFF2,FFFFFFCB0CAA,000000001044,0000012A8F3D,00000208AD83,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
72,000025E6B6BB,000020BC3326,FFFFFFD60EA0,FFFFFFF78964,FFFFFFFFF8BF,00000000FB56,00000B23D9E1,FFFFFFC8CD65,000000000A89,000001282D0D,000002029425,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
73,000025B918FF,000023A3AA5A,FFFFFFD8B431,FFFFFFFB882A,FFFFFFFFF8C5,000000055455,00000A4253AF,FFFFFFC5817C,000000000218,000001243C3C,0000020804AE,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
74,0000258B8F38,0000201BF68C,FFFFFFD8513F,FFFFFFFAE601,FFFFFFFFF8BF,FFFFFFFC827C,00000A33EE44,FFFFFFC54FB9,00000000018E,0000012137B6,00000206B56F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
75,0000258F1131,00002224BDD3,FFFFFFD7D794,FFFFFFFC4044,FFFFFFFFF8B3,000000025587,000009F36D18,FFFFFFC46180,FFFFFFFFFF24,00000129A54C,0000020C3D2C,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
76,000024B0F788,00002319110D,FFFFFFD3E674,00000008199D,FFFFFFFFF8B4,00000003B7E4,000009EB0612,FFFFFFC44670,FFFFFFFFFED7,0000012B21B0,000002000848,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
77,000024542BF9,000022DCFB45,FFFFFFD4D6A0,0000000856B6,FFFFFFFFF8AE,0000000127E7,000009EDA61E,FFFFFFC454C1,FFFFFFFFFEF4,0000011DD4E0,0000020AD33D,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
78,000024A9497B,000023C1A437,FFFFFFD20BE0,00000003AD7E,FFFFFFFFF8A3,00000001FBBF,000009710957,FFFFFFC2846E,FFFFFFFFFA48,0000011F8E75,000002000EAF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
79,000024175D27,000022DED44A,FFFFFFD0072B,0000000591BA,FFFFFFFFF892,FFFFFFFF7EF6,00000A2C2A70,FFFFFFC548BF,000000000151,00000124138D,000002010376,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
80,00002357C6F8,000023C8061B,FFFFFFCD3B11,00000001586F,FFFFFFFFF88B,000000013F6C,00000A845305,FFFFFFC698BF,0000000004A4,000001203514,0000020B9FD9,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
81,000023548A0B,00002303C4B3,FFFFFFCD3FE0,000000015171,FFFFFFFFF87D,FFFFFFFFB440,00000A6FBE52,FFFFFFC64FB6,0000000003E6,00000121B8B4,00000202E06F,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
82,000022B59BBE,000023E8EB29,FFFFFFCAEAFD,FFFFFFFFCB07,FFFFFFFFF86C,000000017D8A,00000B2573A6,FFFFFFC8FF89,000000000AB9,000001218197,0000021200FC,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
83,00002260D34C,000023A2591F,FFFFFFCA5464,000000022713,FFFFFFFFF866,00000000D330,00000B4BE668,FFFFFFC99475,000000000C2E,000001261158,0000020617FE,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
84,000022BC5057,000026410798,FFFFFFCBFC78,FFFFFFFCCA98,FFFFFFFFF864,0000000562D5,00000A83D33A,FFFFFFC6A832,0000000004B2,0000012243F1,000002029E3A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
85,000021E4BFE0,000026CF759C,FFFFFFC9777C,00000009E2D1,FFFFFFFFF86C,00000003D793,00000A4FB855,FFFFFFC5E895,0000000002C3,00000120EC66,00000200BE1C,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
86,0000215DD457,000026AEF419,FFFFFFC8BC78,0000000ACC3E,FFFFFFFFF868,000000015F71,00000A1AD91E,FFFFFFC5261F,0000000000D1,000001220B9F,00000200DCDB,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
87,000020DE5E49,000023046020,FFFFFFC77992,0000000F747F,FFFFFFFFF865,FFFFFFFAC36E,000009F0BF57,FFFFFFC48C2F,FFFFFFFFFF45,0000011FA3FB,00000206EBAA,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
88,000020359270,000025561775,FFFFFFC5ADFE,0000000EF8E3,FFFFFFFFF868,00000003442C,00000ACC2FC7,FFFFFFC7C9E5,00000000077C,00000124F98E,00000200EEE4,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
89,00001F442BBA,0000267EA521,FFFFFFC4106B,000000137468,FFFFFFFFF82D,00000003F362,00000ACE433E,FFFFFFC7D611,000000000798,0000012359BF,00000203E475,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
90,00001FAB0F4F,000025A89A1F,FFFFFFC59E5B,00000017ED8F,FFFFFFFFF832,FFFFFFFFB6E0,00000B2FBC8C,FFFFFFC94901,000000000B40,00000124973B,000002000E33,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
91,00001F3B5872,0000268C1854,FFFFFFC49495,00000016D170,FFFFFFFFF82B,000000018615,00000B2DE56F,FFFFFFC94669,000000000B33,00000124AAF3,000001FEFA63,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
92,00001ED53C3C,00002736E2B9,FFFFFFC41A24,00000016DD57,FFFFFFFFF81F,00000001B9E6,00000B092407,FFFFFFC8C075,0000000009D8,00000122BA7A,00000208D17E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
93,00001E2D2FF9,00002842D1F6,FFFFFFC343E7,00000013CA86,FFFFFFFFF808,00000003524B,00000B291C0B,FFFFFFC93D02,000000000B12,00000125EA5F,000001FF359D,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
94,00001E753E5F,00002717CA66,FFFFFFC46D01,000000171DA0,FFFFFFFFF806,FFFFFFFF5DBA,00000BC63A29,FFFFFFCB902C,0000000010F4,000001211592,000002065197,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
95,00001D12DD42,000028B29988,FFFFFFC0AE67,0000001B4FE7,FFFFFFFFF821,00000004DE71,00000B9C7D17,FFFFFFCAF770,000000000F68,000001252713,000002009CF2,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
96,00001CF0CEDC,000028565692,FFFFFFC0BE11,0000001B81B7,FFFFFFFFF829,000000012008,00000B38DE3B,FFFFFFC98500,000000000BB1,00000124436C,000002024FC7,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
97,00001C69A513,000028BB29C1,FFFFFFBFAEC8,0000001D0390,FFFFFFFFF822,0000000123CD,00000B5BB08A,FFFFFFCA0C40,000000000D05,0000012167B1,00000206E265,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
98,00001C481C3F,000028D779FB,FFFFFFBF95EC,0000001CE885,FFFFFFFFF819,0000000088E4,00000B773F90,FFFFFFCA782B,000000000E13,00000126798A,000002006D49,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
99,00001BE84E13,00002AA222F9,FFFFFFBF69E9,0000001CFFDC,FFFFFFFFF80F,000000031484,00000B7094B8,FFFFFFCA6358,000000000DD8,00000124ED5C,000001FE2DC2,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
100,00001B4A2155,000029A537C5,FFFFFFBCBD8F,000000122B96,FFFFFFFFF7DD,FFFFFFFFC345,00000B77E1A5,FFFFFFCA8315,000000000E23,00000124989C,000001FF2D1C,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
101,00001B2B86D4,00002A513B86,FFFFFFBCD7B4,0000001256A7,FFFFFFFFF7D9,0000000145F2,00000B42FB5C,FFFFFFC9C062,000000000C2C,00000122B376,000001FFA28E,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
102,00001B1DC5C9,000029FC9211,FFFFFFBD6737,0000001084F1,FFFFFFFFF7D6,00000000119F,00000B4997E3,FFFFFFC9DD86,000000000C6E,000001217CDA,000001FF8C1A,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
